latitude start,latitude end,longitude start,longitude end,time,source,hash
5.0625,10.0625,-54.9375,-49.9375,2020-01-12,des,2b4d04e52edc979474fd4de2d7b643c0
5.0625,10.0625,-54.9375,-49.9375,2020-02-10,des,938b1c8fb1ec1e8b43f70fa3cf97db8b
5.0625,10.0625,-54.9375,-49.9375,2020-04-08,des,a1f4b319069f6123d4778748a215b978
5.0625,10.0625,-54.9375,-49.9375,2020-05-07,des,68bc174c43dc9ec2b28d4e90499fadaf
5.0625,10.0625,-54.9375,-49.9375,2020-06-05,des,9c318a8eaa1287bc708dec6b3a5a0a9e
5.0625,10.0625,-54.9375,-49.9375,2020-07-04,des,543ab0d06e88fa256b3d82e2c027a831
5.0625,10.0625,-54.9375,-49.9375,2020-08-02,des,8177bbb6e9a916835cdeecff61f09690
5.0625,10.0625,-54.9375,-49.9375,2020-08-31,des,8f03645b040611150778e5be24a81dec
5.0625,10.0625,-54.9375,-49.9375,2020-09-29,des,3620d2b2ace182de8283eae9f0c35d42
5.0625,10.0625,-54.9375,-49.9375,2020-10-28,des,991a8489166ab2e03dbbfed26f016759
5.0625,10.0625,-54.9375,-49.9375,2020-11-26,des,73d62885dc18b75b7e6a0dd015b9c1d6
5.0625,10.0625,-54.9375,-49.9375,2020-12-25,des,dcaf6cdba48b0887c0ec3225117a1f42
5.0625,10.0625,-49.9375,-44.9375,2020-01-01,des,7a293f2087706cd7097aac456ee8e37f
5.0625,10.0625,-49.9375,-44.9375,2020-01-08,des,84afc43bee51d57e5e39909dd8d6f766
5.0625,10.0625,-49.9375,-44.9375,2020-01-20,des,33a3bf85af0c18678b6dcdcb6a5f952d
5.0625,10.0625,-49.9375,-44.9375,2020-01-27,des,0c4362db27831a2901f12b8310b41050
5.0625,10.0625,-49.9375,-44.9375,2020-01-30,des,8c68c59c6498d7d4a3a7367baf3a0efc
5.0625,10.0625,-49.9375,-44.9375,2020-02-06,des,cb6643e2bef4d39a086bef3f9aa8ef98
5.0625,10.0625,-49.9375,-44.9375,2020-02-18,des,e692daff6f9a18e6b661d166127c9d48
5.0625,10.0625,-49.9375,-44.9375,2020-02-25,des,7d10f6ab51aea213da40ace4ab47f082
5.0625,10.0625,-49.9375,-44.9375,2020-02-28,des,5c43f7dbe245450e8ec217d06802ea82
5.0625,10.0625,-49.9375,-44.9375,2020-03-06,des,154a2871b3913dc2533117e4361744e6
5.0625,10.0625,-49.9375,-44.9375,2020-03-18,des,4801f44f7bc569c2f76e350f1f589e3c
5.0625,10.0625,-49.9375,-44.9375,2020-03-25,des,435d34b2346d679c3d0f0755812d5506
5.0625,10.0625,-49.9375,-44.9375,2020-04-16,des,b977a47b71f06fddc7d10f5df2dbcb39
5.0625,10.0625,-49.9375,-44.9375,2020-04-23,des,df9fde511e2c4a826caf23aba30b9eeb
5.0625,10.0625,-49.9375,-44.9375,2020-04-26,des,7cd381fb2419f4841fa5869b5a66434c
5.0625,10.0625,-49.9375,-44.9375,2020-05-15,des,3f8df01c814b998bfa706618b0ad866a
5.0625,10.0625,-49.9375,-44.9375,2020-05-22,des,e014e3909346ffd45d4034503803ce43
5.0625,10.0625,-49.9375,-44.9375,2020-05-25,des,fe4b9478274edef50c0d49fc5fef3529
5.0625,10.0625,-49.9375,-44.9375,2020-06-13,des,4880d0e17de3d4bc1160e3139eec2ed3
5.0625,10.0625,-49.9375,-44.9375,2020-06-20,des,942eb2e0ab1474f28ef9f6efe76d3ed4
5.0625,10.0625,-49.9375,-44.9375,2020-06-23,des,10644103536dccb9fed475b8cb00359d
5.0625,10.0625,-49.9375,-44.9375,2020-06-30,des,6cde8bc937b0d2be3912b3dc94c95a53
5.0625,10.0625,-49.9375,-44.9375,2020-07-12,des,b85db8734a8fd1960b3c350610a6be85
5.0625,10.0625,-49.9375,-44.9375,2020-07-19,des,fa53ff761ad64f920ea80d660c387bec
5.0625,10.0625,-49.9375,-44.9375,2020-07-22,des,6d8fa1beabaf2ebc8aa4a9cfaea78fb7
5.0625,10.0625,-49.9375,-44.9375,2020-07-29,des,6a300783d32b77d12658e74a09d4f899
5.0625,10.0625,-49.9375,-44.9375,2020-08-10,des,c9c4d7e8ab6ece8899003bbbace02970
5.0625,10.0625,-49.9375,-44.9375,2020-08-12,des,c6705a23d6bc47d68bdd1ff67f435853
5.0625,10.0625,-49.9375,-44.9375,2020-08-17,des,4f29b1c8e4449e7f32d10c662eafaee4
5.0625,10.0625,-49.9375,-44.9375,2020-08-20,des,921172efeed9b37aa42bcb311afe16a9
5.0625,10.0625,-49.9375,-44.9375,2020-08-27,des,cbd8fec1e45d3e45007f6fd67a44225c
5.0625,10.0625,-49.9375,-44.9375,2020-09-08,des,a32f579c6ceecd70a6886acc298ee487
5.0625,10.0625,-49.9375,-44.9375,2020-09-10,des,1feac5d92197453c0b9c0ca68fa12b29
5.0625,10.0625,-49.9375,-44.9375,2020-09-15,des,acc176d04d3aa89391634c7754af9b20
5.0625,10.0625,-49.9375,-44.9375,2020-09-18,des,7f3e777bf623f25652ec2d4877e8a877
5.0625,10.0625,-49.9375,-44.9375,2020-09-25,des,b14fc7926f9713c9387a8a8e8519c460
5.0625,10.0625,-49.9375,-44.9375,2020-10-07,des,50bdd85759f0661bcccb19cd887df10d
5.0625,10.0625,-49.9375,-44.9375,2020-10-09,des,7c565bb774626988b0a3c32dc02aba17
5.0625,10.0625,-49.9375,-44.9375,2020-10-14,des,31ae6eb467852601cd2dd347130bd6a9
5.0625,10.0625,-49.9375,-44.9375,2020-10-17,des,5c0bfef47113de74211b5b20e3f3b393
5.0625,10.0625,-49.9375,-44.9375,2020-10-24,des,51d0217a134fc0febc7fd7a1af797273
5.0625,10.0625,-49.9375,-44.9375,2020-11-05,des,5e98311454be3d6f1ce72d8a8e313542
5.0625,10.0625,-49.9375,-44.9375,2020-11-07,des,853774381f09873533d7f8a4bb61e3a9
5.0625,10.0625,-49.9375,-44.9375,2020-11-12,des,c19c2811636a66fe8c4128e0809949d4
5.0625,10.0625,-49.9375,-44.9375,2020-11-15,des,bb2f21c242a90d97a2ea477239b19c6c
5.0625,10.0625,-49.9375,-44.9375,2020-11-22,des,f458588686eadea8d675cc10234bff90
5.0625,10.0625,-49.9375,-44.9375,2020-12-04,des,a8a18ed983019ce706495661304d9ff7
5.0625,10.0625,-49.9375,-44.9375,2020-12-06,des,06197b629a23d2cf5bbee73e42a181a8
5.0625,10.0625,-49.9375,-44.9375,2020-12-11,des,07aa99d889bb520b7ee2e9d89d2835e9
5.0625,10.0625,-49.9375,-44.9375,2020-12-14,des,0618e6e439e8541b681fd5f88ba989c5
5.0625,10.0625,-49.9375,-44.9375,2020-12-21,des,bfc377c414438b6acdeeafd9dcabcd53
